task_id,variant,model,pass,intentional_error,error_mode,rubric_dims,rubric_mean_w,rubric_count,fail_reason,gen_latency_ms,pytest_ms,seed,timestamp
HumanEval/0,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'correctness', 'edge_cases', 'comments', 'readability', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'comments', 'docstring']",0.563,13,,1102,1102,42,2025-12-01 08:41:47
HumanEval/1,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'readability', 'edge_cases', 'correctness', 'correctness', 'correctness', 'efficiency', 'robustness', 'robustness', 'security', 'docstring', 'comments', 'comments']",0.602,13,,1102,1102,42,2025-12-01 08:41:57
HumanEval/10,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,off_by_one,"['correctness', 'comments', 'correctness', 'correctness', 'edge_cases', 'correctness', 'efficiency', 'type_hints', 'robustness', 'security', 'docstring', 'comments', 'docstring']",0.562,13,1 error in 0.16s,1203,1202,42,2025-12-01 08:42:07
HumanEval/100,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,drop_edge_cases,"['correctness', 'readability', 'correctness', 'readability', 'correctness', 'edge_cases', 'efficiency', 'type_hints', 'docstring', 'efficiency', 'docstring', 'docstring', 'comments']",0.567,13,1 error in 0.16s,1202,1202,42,2025-12-01 08:42:16
HumanEval/101,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'edge_cases', 'comments', 'correctness', 'correctness', 'correctness', 'efficiency', 'robustness', 'security', 'security', 'docstring', 'type_hints', 'comments']",0.615,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:42:24
HumanEval/102,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'edge_cases', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'efficiency', 'security', 'security', 'robustness', 'docstring', 'docstring', 'comments']",0.585,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:42:38
HumanEval/103,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,0,none,"['correctness', 'edge_cases', 'comments', 'readability', 'correctness', 'correctness', 'efficiency', 'efficiency', 'robustness', 'security', 'docstring', 'comments', 'type_hints']",0.565,13,1 failed in 0.05s,1102,1102,42,2025-12-01 08:42:48
HumanEval/104,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'correctness', 'correctness', 'edge_cases', 'edge_cases', 'readability', 'efficiency', 'security', 'security', 'efficiency', 'docstring', 'docstring', 'comments']",0.631,13,,1102,1102,42,2025-12-01 08:42:55
HumanEval/105,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,0,none,"['correctness', 'comments', 'correctness', 'edge_cases', 'correctness', 'comments', 'efficiency', 'robustness', 'security', 'efficiency', 'docstring', 'comments', 'docstring']",0.536,13,,1102,1102,42,2025-12-01 08:43:13
HumanEval/106,adw_weighted_v4_teaching,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1,wrong_loop,"['correctness', 'correctness', 'correctness', 'readability', 'readability', 'edge_cases', 'efficiency', 'robustness', 'efficiency', 'docstring', 'docstring', 'type_hints', 'comments']",0.588,13,1 failed in 0.04s,1102,1102,42,2025-12-01 08:43:23
