task_id,variant,model,pass,fail_reason,gen_latency_ms,pytest_ms,seed,timestamp
HumanEval/0,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.17s,4461,1302,1,2025-12-01 08:16:03
HumanEval/1,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7609,1302,1,2025-12-01 08:16:15
HumanEval/10,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.17s,7352,1302,1,2025-12-01 08:16:26
HumanEval/100,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,2786,1202,1,2025-12-01 08:16:33
HumanEval/101,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,5878,1202,1,2025-12-01 08:16:42
HumanEval/102,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,,5007,1202,1,2025-12-01 08:16:51
HumanEval/103,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 failed in 0.04s,3747,1102,1,2025-12-01 08:16:59
HumanEval/104,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,5726,1202,1,2025-12-01 08:17:08
HumanEval/105,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7214,1202,1,2025-12-01 08:17:20
HumanEval/106,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7089,1201,1,2025-12-01 08:17:31
HumanEval/107,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.17s,7125,1202,1,2025-12-01 08:17:42
HumanEval/108,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,2678,1202,1,2025-12-01 08:17:48
HumanEval/109,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,5754,1202,1,2025-12-01 08:17:58
HumanEval/11,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,6734,1202,1,2025-12-01 08:18:08
HumanEval/110,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,3557,1202,1,2025-12-01 08:18:16
HumanEval/111,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.11s,4455,1202,1,2025-12-01 08:18:24
HumanEval/112,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,,7226,1102,1,2025-12-01 08:18:35
HumanEval/113,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7347,1202,1,2025-12-01 08:18:47
HumanEval/114,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,,7042,1101,1,2025-12-01 08:18:57
HumanEval/115,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7195,1202,1,2025-12-01 08:19:08
HumanEval/116,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7259,1202,1,2025-12-01 08:19:19
HumanEval/117,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7295,1202,1,2025-12-01 08:19:30
HumanEval/118,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,5142,1202,1,2025-12-01 08:19:39
HumanEval/119,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 failed in 0.04s,7199,1102,1,2025-12-01 08:19:51
HumanEval/12,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.15s,4336,1201,1,2025-12-01 08:19:59
HumanEval/120,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 failed in 0.04s,1890,1101,1,2025-12-01 08:20:05
HumanEval/121,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7206,1202,1,2025-12-01 08:20:15
HumanEval/122,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,778,1202,1,2025-12-01 08:20:20
HumanEval/123,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7117,1202,1,2025-12-01 08:20:31
HumanEval/124,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7100,1202,1,2025-12-01 08:20:42
HumanEval/125,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 failed in 0.04s,6960,1102,1,2025-12-01 08:20:52
HumanEval/126,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,6189,1202,1,2025-12-01 08:21:03
HumanEval/127,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7181,1202,1,2025-12-01 08:21:13
HumanEval/128,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,3785,1202,1,2025-12-01 08:21:21
HumanEval/129,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.11s,5606,1202,1,2025-12-01 08:21:30
HumanEval/13,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,2539,1202,1,2025-12-01 08:21:37
HumanEval/130,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7179,1202,1,2025-12-01 08:21:48
HumanEval/131,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7162,1202,1,2025-12-01 08:21:59
HumanEval/132,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 failed in 0.04s,7092,1101,1,2025-12-01 08:22:10
HumanEval/133,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 failed in 0.04s,7169,1102,1,2025-12-01 08:22:20
HumanEval/134,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7205,1202,1,2025-12-01 08:22:31
HumanEval/135,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,6765,1202,1,2025-12-01 08:22:42
HumanEval/136,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7198,1202,1,2025-12-01 08:22:53
HumanEval/137,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7198,1202,1,2025-12-01 08:23:04
HumanEval/138,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,6908,1202,1,2025-12-01 08:23:14
HumanEval/139,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,,3266,1202,1,2025-12-01 08:23:21
HumanEval/14,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,7138,1202,1,2025-12-01 08:23:32
HumanEval/140,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.16s,5721,1202,1,2025-12-01 08:23:42
HumanEval/141,baseline_primitive,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,1 error in 0.17s,7252,1202,1,2025-12-01 08:23:53
