task_id,error_mode,recipe_label,traceback_tail,used,gen_latency_ms,pytest_ms,seed
HumanEval/86,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6820,0,42
HumanEval/157,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7104,0,42
HumanEval/92,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7117,0,42
HumanEval/5,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7004,0,42
HumanEval/84,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7191,0,42
HumanEval/103,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6081,0,42
HumanEval/77,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6149,0,42
HumanEval/26,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6557,0,42
HumanEval/67,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7136,0,42
HumanEval/65,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7178,0,42
HumanEval/137,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7083,0,42
HumanEval/162,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7278,0,42
HumanEval/89,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6796,0,42
HumanEval/153,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7204,0,42
HumanEval/106,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7194,0,42
HumanEval/139,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6683,0,42
HumanEval/82,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,3947,0,42
HumanEval/159,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7042,0,42
HumanEval/57,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,4354,0,42
HumanEval/126,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7195,0,42
HumanEval/152,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7128,0,42
HumanEval/66,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,3774,0,42
HumanEval/143,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7098,0,42
HumanEval/132,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6991,0,42
HumanEval/163,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,3947,0,42
HumanEval/73,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6974,0,42
HumanEval/113,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6479,0,42
HumanEval/134,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7172,0,42
HumanEval/52,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6871,0,42
HumanEval/105,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7084,0,42
HumanEval/128,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7156,0,42
HumanEval/155,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7206,0,42
HumanEval/74,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7153,0,42
HumanEval/22,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,5226,0,42
HumanEval/21,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7177,0,42
HumanEval/160,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7116,0,42
HumanEval/56,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,5703,0,42
HumanEval/99,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7193,0,42
HumanEval/28,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,1746,0,42
HumanEval/25,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7255,0,42
HumanEval/55,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,5119,0,42
HumanEval/11,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,5717,0,42
HumanEval/111,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7214,0,42
HumanEval/144,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6956,0,42
HumanEval/33,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,4403,0,42
HumanEval/60,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,3163,0,42
HumanEval/81,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7041,0,42
HumanEval/68,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7231,0,42
HumanEval/75,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7218,0,42
HumanEval/40,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7183,0,42
HumanEval/46,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7122,0,42
HumanEval/36,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,4033,0,42
HumanEval/87,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7204,0,42
HumanEval/95,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7118,0,42
HumanEval/96,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7180,0,42
HumanEval/16,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,3432,0,42
HumanEval/104,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6544,0,42
HumanEval/158,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7114,0,42
HumanEval/79,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7233,0,42
HumanEval/117,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7109,0,42
HumanEval/108,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6141,0,42
HumanEval/47,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,6628,0,42
HumanEval/76,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7115,0,42
HumanEval/151,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7175,0,42
HumanEval/133,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7219,0,42
HumanEval/17,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7245,0,42
HumanEval/18,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,3968,0,42
HumanEval/94,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7152,0,42
HumanEval/147,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7159,0,42
HumanEval/148,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7188,0,42
HumanEval/34,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,2866,0,42
HumanEval/161,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7152,0,42
HumanEval/38,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7147,0,42
HumanEval/0,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7251,0,42
HumanEval/71,force_print_return,RETURNS_NOT_PRINT,"RunnerException: TypeError: data must be str, not tuple",1,7161,0,42
HumanEval/145,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7099,0,42
HumanEval/27,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,1878,0,42
HumanEval/125,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7155,0,42
HumanEval/131,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,5462,0,42
HumanEval/82,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7216,0,42
HumanEval/150,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,4354,0,42
HumanEval/62,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7130,0,42
HumanEval/117,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,6991,0,42
HumanEval/151,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7188,0,42
HumanEval/23,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,3395,0,42
HumanEval/68,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7247,0,42
HumanEval/9,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,4714,0,42
HumanEval/17,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7158,0,42
HumanEval/42,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,5494,0,42
HumanEval/95,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,6681,0,42
HumanEval/49,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7096,0,42
HumanEval/69,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7240,0,42
HumanEval/25,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,5546,0,42
HumanEval/40,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7174,0,42
HumanEval/15,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,4810,0,42
HumanEval/57,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,6341,0,42
HumanEval/70,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7154,0,42
HumanEval/161,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7247,0,42
HumanEval/5,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7174,0,42
HumanEval/34,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,3373,0,42
HumanEval/48,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,6856,0,42
HumanEval/59,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,6642,0,42
HumanEval/3,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,4207,0,42
HumanEval/132,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,6036,0,42
HumanEval/123,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7138,0,42
HumanEval/56,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7225,0,42
HumanEval/83,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,6512,0,42
HumanEval/11,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,3421,0,42
HumanEval/28,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,1733,0,42
HumanEval/97,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,4610,0,42
HumanEval/13,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,5033,0,42
HumanEval/119,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7132,0,42
HumanEval/74,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7191,0,42
HumanEval/18,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,5762,0,42
HumanEval/10,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7283,0,42
HumanEval/111,drop_edge_cases,EDGE_CASES,"RunnerException: TypeError: data must be str, not tuple",1,7331,0,42
