task_id,variant,seed,pass,error_type,fail_reason,gen_latency_ms,exec_latency_ms,tokens_in,tokens_out,timestamp
HumanEval/0,baseline,1,1,Other,,1102,1102,35.0,69.0,2025-12-01 09:10:33
HumanEval/1,baseline,1,0,Other,1 failed in 0.04s,1102,1102,56.0,120.0,2025-12-01 09:10:40
HumanEval/10,baseline,1,0,Other,1 error in 0.16s,1202,1202,60.0,116.0,2025-12-01 09:10:48
HumanEval/100,baseline,1,0,Timeout,TimeoutError: Execution exceeded limit,12013,12014,64.0,89.0,2025-12-01 09:11:06
HumanEval/101,baseline,1,0,Other,1 failed in 0.04s,1202,1202,45.0,63.0,2025-12-01 09:11:11
HumanEval/102,baseline,1,1,Other,,1102,1102,37.0,80.0,2025-12-01 09:11:19
HumanEval/103,baseline,1,0,Other,1 failed in 0.04s,1102,1102,53.0,92.0,2025-12-01 09:11:27
HumanEval/104,baseline,1,0,Other,1 failed in 0.04s,1102,1102,36.0,64.0,2025-12-01 09:11:33
HumanEval/105,baseline,1,0,Other,1 error in 0.16s,1202,1202,102.0,97.0,2025-12-01 09:11:41
HumanEval/106,baseline,1,1,Other,,1102,1102,63.0,81.0,2025-12-01 09:11:49
HumanEval/107,baseline,1,0,Other,1 error in 0.16s,1202,1202,81.0,99.0,2025-12-01 09:11:57
HumanEval/108,baseline,1,0,Other,1 failed in 0.04s,1102,1102,50.0,66.0,2025-12-01 09:12:03
HumanEval/109,baseline,1,0,Other,1 error in 0.16s,1202,1202,142.0,124.0,2025-12-01 09:12:11
HumanEval/11,baseline,1,1,Other,,1101,1102,33.0,74.0,2025-12-01 09:12:19
HumanEval/110,baseline,1,0,Other,1 error in 0.16s,1202,1202,87.0,116.0,2025-12-01 09:12:27
HumanEval/111,baseline,1,0,Other,1 failed in 0.04s,1102,1102,60.0,100.0,2025-12-01 09:12:34
HumanEval/112,baseline,1,0,Other,1 error in 0.16s,1202,1202,77.0,123.0,2025-12-01 09:12:42
HumanEval/113,baseline,1,0,Other,1 error in 0.15s,1202,1202,75.0,103.0,2025-12-01 09:12:51
HumanEval/114,baseline,1,0,Other,1 failed in 0.04s,1102,1102,26.0,64.0,2025-12-01 09:12:57
HumanEval/115,baseline,1,0,Other,1 error in 0.16s,1202,1202,113.0,89.0,2025-12-01 09:13:05
HumanEval/116,baseline,1,0,Other,1 error in 0.16s,1302,1302,60.0,99.0,2025-12-01 09:13:13
HumanEval/117,baseline,1,0,Other,1 error in 0.16s,1202,1202,80.0,119.0,2025-12-01 09:13:22
HumanEval/118,baseline,1,0,Other,1 failed in 0.04s,1101,1102,57.0,40.0,2025-12-01 09:13:26
HumanEval/119,baseline,1,0,Other,1 error in 0.16s,1202,1202,79.0,110.0,2025-12-01 09:13:35
HumanEval/12,baseline,1,1,Other,,1102,1102,42.0,58.0,2025-12-01 09:13:40
HumanEval/120,baseline,1,0,Other,1 error in 0.16s,1202,1202,85.0,102.0,2025-12-01 09:13:48
HumanEval/121,baseline,1,1,Other,,1102,1102,32.0,81.0,2025-12-01 09:13:55
HumanEval/122,baseline,1,0,Other,1 error in 0.16s,1202,1202,48.0,74.0,2025-12-01 09:14:03
HumanEval/123,baseline,1,0,Other,1 error in 0.16s,1202,1202,109.0,122.0,2025-12-01 09:14:11
HumanEval/124,baseline,1,0,Other,1 error in 0.16s,1202,1202,105.0,103.0,2025-12-01 09:14:19
HumanEval/125,baseline,1,0,Other,1 error in 0.17s,1202,1202,54.0,112.0,2025-12-01 09:14:27
