task_id,variant,model,pass,attempts,fail_family,repair_latency_ms,tokens_in,tokens_out,ts
HumanEval/10,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,20247,60.0,81.0,2025-12-01 09:49:40
HumanEval/100,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,16335,64.0,67.0,2025-12-01 09:49:56
HumanEval/101,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,16307,45.0,60.0,2025-12-01 09:50:12
HumanEval/102,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,9416,37.0,0.0,2025-12-01 09:50:22
HumanEval/103,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,15738,53.0,81.0,2025-12-01 09:50:37
HumanEval/106,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8847,63.0,0.0,2025-12-01 09:50:46
HumanEval/107,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,13510,81.0,0.0,2025-12-01 09:51:00
HumanEval/108,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,16342,50.0,61.0,2025-12-01 09:51:16
HumanEval/109,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,26612,142.0,151.0,2025-12-01 09:51:43
HumanEval/111,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,20384,60.0,97.0,2025-12-01 09:52:03
HumanEval/113,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,22707,75.0,101.0,2025-12-01 09:52:26
HumanEval/115,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25803,113.0,112.0,2025-12-01 09:52:52
HumanEval/116,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,10400,60.0,0.0,2025-12-01 09:53:02
HumanEval/117,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,13247,80.0,0.0,2025-12-01 09:53:15
HumanEval/118,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,13702,57.0,40.0,2025-12-01 09:53:29
HumanEval/119,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,18695,79.0,94.0,2025-12-01 09:53:48
HumanEval/12,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8473,42.0,0.0,2025-12-01 09:53:56
HumanEval/120,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,22105,85.0,106.0,2025-12-01 09:54:18
HumanEval/122,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8590,48.0,0.0,2025-12-01 09:54:27
HumanEval/123,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,24043,109.0,135.0,2025-12-01 09:54:51
HumanEval/124,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,26364,105.0,123.0,2025-12-01 09:55:17
HumanEval/125,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,21364,54.0,103.0,2025-12-01 09:55:39
HumanEval/126,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,24261,76.0,94.0,2025-12-01 09:56:03
HumanEval/127,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25021,109.0,135.0,2025-12-01 09:56:28
HumanEval/128,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,6989,48.0,0.0,2025-12-01 09:56:35
HumanEval/129,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,23996,191.0,119.0,2025-12-01 09:56:59
HumanEval/130,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,26171,96.0,134.0,2025-12-01 09:57:25
HumanEval/131,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8494,25.0,0.0,2025-12-01 09:57:34
HumanEval/132,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,11468,47.0,21.0,2025-12-01 09:57:45
HumanEval/133,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,17144,61.0,66.0,2025-12-01 09:58:02
HumanEval/134,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,20886,47.0,92.0,2025-12-01 09:58:23
HumanEval/135,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,18361,38.0,85.0,2025-12-01 09:58:41
HumanEval/136,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,10667,47.0,0.0,2025-12-01 09:58:52
HumanEval/137,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,20918,52.0,83.0,2025-12-01 09:59:13
HumanEval/138,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,14311,23.0,45.0,2025-12-01 09:59:27
HumanEval/14,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,12708,22.0,26.0,2025-12-01 09:59:40
HumanEval/140,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8743,37.0,0.0,2025-12-01 09:59:49
HumanEval/141,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,23136,95.0,119.0,2025-12-01 10:00:12
HumanEval/142,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,22886,85.0,137.0,2025-12-01 10:00:35
HumanEval/143,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,18618,71.0,88.0,2025-12-01 10:00:53
HumanEval/144,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,10330,68.0,0.0,2025-12-01 10:01:04
HumanEval/145,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,15043,48.0,53.0,2025-12-01 10:01:19
HumanEval/147,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,22668,71.0,123.0,2025-12-01 10:01:42
HumanEval/148,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25417,83.0,126.0,2025-12-01 10:02:07
HumanEval/150,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,9703,32.0,0.0,2025-12-01 10:02:17
HumanEval/151,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,17334,49.0,65.0,2025-12-01 10:02:34
HumanEval/153,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25054,119.0,141.0,2025-12-01 10:02:59
HumanEval/154,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,9760,37.0,0.0,2025-12-01 10:03:09
HumanEval/155,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,16075,21.0,53.0,2025-12-01 10:03:25
HumanEval/156,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25010,30.0,110.0,2025-12-01 10:03:50
HumanEval/158,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,18008,45.0,81.0,2025-12-01 10:04:08
HumanEval/159,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,13336,124.0,0.0,2025-12-01 10:04:21
HumanEval/16,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,7573,22.0,0.0,2025-12-01 10:04:29
HumanEval/160,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25515,100.0,144.0,2025-12-01 10:04:54
HumanEval/161,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,10675,43.0,0.0,2025-12-01 10:05:05
HumanEval/162,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,5101,20.0,0.0,2025-12-01 10:05:10
HumanEval/163,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,18992,33.0,83.0,2025-12-01 10:05:29
HumanEval/17,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25545,73.0,142.0,2025-12-01 10:05:55
HumanEval/19,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,16453,40.0,63.0,2025-12-01 10:06:11
HumanEval/20,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,12440,47.0,0.0,2025-12-01 10:06:24
HumanEval/24,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,7778,19.0,0.0,2025-12-01 10:06:31
HumanEval/25,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,9438,53.0,0.0,2025-12-01 10:06:41
HumanEval/27,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,11023,17.0,25.0,2025-12-01 10:06:52
HumanEval/32,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25770,100.0,93.0,2025-12-01 10:07:18
HumanEval/33,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,16467,59.0,62.0,2025-12-01 10:07:34
HumanEval/36,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8040,26.0,0.0,2025-12-01 10:07:42
HumanEval/37,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,21000,47.0,99.0,2025-12-01 10:08:03
HumanEval/38,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,14771,66.0,54.0,2025-12-01 10:08:18
HumanEval/39,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,17709,25.0,61.0,2025-12-01 10:08:36
HumanEval/40,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,11255,47.0,0.0,2025-12-01 10:08:47
HumanEval/41,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8752,82.0,0.0,2025-12-01 10:08:56
HumanEval/45,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,13176,15.0,40.0,2025-12-01 10:09:09
HumanEval/46,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,24974,53.0,111.0,2025-12-01 10:09:34
HumanEval/49,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,9672,26.0,0.0,2025-12-01 10:09:43
HumanEval/5,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,9189,30.0,0.0,2025-12-01 10:09:53
HumanEval/50,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,11352,36.0,25.0,2025-12-01 10:10:04
HumanEval/51,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8933,26.0,0.0,2025-12-01 10:10:13
HumanEval/52,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,6788,25.0,0.0,2025-12-01 10:10:20
HumanEval/55,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,7548,13.0,0.0,2025-12-01 10:10:27
HumanEval/56,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8352,27.0,0.0,2025-12-01 10:10:36
HumanEval/57,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,13510,24.0,33.0,2025-12-01 10:10:49
HumanEval/59,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,15110,19.0,50.0,2025-12-01 10:11:04
HumanEval/6,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,11602,46.0,0.0,2025-12-01 10:11:16
HumanEval/60,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,7313,23.0,0.0,2025-12-01 10:11:23
HumanEval/61,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8737,27.0,0.0,2025-12-01 10:11:32
HumanEval/62,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,7787,36.0,0.0,2025-12-01 10:11:40
HumanEval/63,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,10962,46.0,0.0,2025-12-01 10:11:51
HumanEval/64,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8801,52.0,0.0,2025-12-01 10:11:59
HumanEval/65,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,14244,32.0,40.0,2025-12-01 10:12:14
HumanEval/67,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,12465,99.0,0.0,2025-12-01 10:12:26
HumanEval/68,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25356,138.0,144.0,2025-12-01 10:12:52
HumanEval/69,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,12569,66.0,0.0,2025-12-01 10:13:04
HumanEval/71,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,14108,52.0,0.0,2025-12-01 10:13:18
HumanEval/73,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,10137,56.0,0.0,2025-12-01 10:13:28
HumanEval/74,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,23987,67.0,116.0,2025-12-01 10:13:52
HumanEval/75,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,21136,31.0,102.0,2025-12-01 10:14:13
HumanEval/76,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,17522,49.0,66.0,2025-12-01 10:14:31
HumanEval/77,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,18721,40.0,79.0,2025-12-01 10:14:50
HumanEval/78,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25815,126.0,133.0,2025-12-01 10:15:16
HumanEval/79,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,18912,63.0,88.0,2025-12-01 10:15:34
HumanEval/8,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,1,Other,8671,47.0,0.0,2025-12-01 10:15:43
HumanEval/81,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,25365,97.0,112.0,2025-12-01 10:16:08
HumanEval/83,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,19564,19.0,76.0,2025-12-01 10:16:28
HumanEval/86,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,18077,58.0,84.0,2025-12-01 10:16:46
HumanEval/87,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,22194,89.0,93.0,2025-12-01 10:17:08
HumanEval/88,adb_v11_from_adw_weighted,Qwen/Qwen2.5-Coder-0.5B-Instruct,0,2,Other,23093,78.0,115.0,2025-12-01 10:17:31
