task_id,variant,model,pass,fail_family,code,seed,gen_latency_ms,pytest_ms,timestamp
HumanEval/0,controlled_failures_v1,synthetic_failures,0,empty_body,"def has_close_elements(*args, **kwargs):
    pass",99,0,1102,2025-12-01 15:09:30
HumanEval/0,controlled_failures_v1,synthetic_failures,0,logic_off_by_one,def has_close_elements(x): return x+1,99,0,1102,2025-12-01 15:09:31
HumanEval/0,controlled_failures_v1,synthetic_failures,0,logic_constant_output,"def has_close_elements(*args, **kwargs): return 42",99,0,1202,2025-12-01 15:09:32
HumanEval/1,controlled_failures_v1,synthetic_failures,0,logic_off_by_one,def separate_paren_groups(x): return x+1,99,0,1202,2025-12-01 15:09:33
HumanEval/1,controlled_failures_v1,synthetic_failures,0,logic_constant_output,"def separate_paren_groups(*args, **kwargs): return 42",99,0,1202,2025-12-01 15:09:34
HumanEval/10,controlled_failures_v1,synthetic_failures,0,wrong_data_type,def make_palindrome(x): return str(x),99,0,1202,2025-12-01 15:09:36
HumanEval/10,controlled_failures_v1,synthetic_failures,0,empty_body,"def make_palindrome(*args, **kwargs):
    pass",99,0,1202,2025-12-01 15:09:37
HumanEval/100,controlled_failures_v1,synthetic_failures,0,print_not_return,def make_a_pile(x): print(x),99,0,1202,2025-12-01 15:09:38
HumanEval/100,controlled_failures_v1,synthetic_failures,0,loop_wrong,"def make_a_pile(lst):
    for i in range(len(lst)+1): pass",99,0,1202,2025-12-01 15:09:39
HumanEval/101,controlled_failures_v1,synthetic_failures,0,empty_body,"def words_string(*args, **kwargs):
    pass",99,0,1202,2025-12-01 15:09:40
HumanEval/101,controlled_failures_v1,synthetic_failures,0,logic_off_by_one,def words_string(x): return x+1,99,0,1202,2025-12-01 15:09:42
HumanEval/102,controlled_failures_v1,synthetic_failures,0,empty_body,"def choose_num(*args, **kwargs):
    pass",99,0,1202,2025-12-01 15:09:43
HumanEval/102,controlled_failures_v1,synthetic_failures,0,logic_off_by_one,def choose_num(x): return x+1,99,0,1101,2025-12-01 15:09:44
HumanEval/102,controlled_failures_v1,synthetic_failures,0,logic_constant_output,"def choose_num(*args, **kwargs): return 42",99,0,1101,2025-12-01 15:09:45
HumanEval/103,controlled_failures_v1,synthetic_failures,0,logic_constant_output,"def rounded_avg(*args, **kwargs): return 42",99,0,1202,2025-12-01 15:09:46
