task_id,pass
HumanEval/0,1
HumanEval/1,1
HumanEval/10,0
HumanEval/100,0
HumanEval/101,0
HumanEval/102,1
HumanEval/103,0
HumanEval/104,1
HumanEval/105,1
HumanEval/106,1
HumanEval/107,1
HumanEval/108,0
HumanEval/109,0
HumanEval/11,1
HumanEval/110,1
HumanEval/111,0
HumanEval/112,1
HumanEval/113,0
HumanEval/114,1
HumanEval/115,0
HumanEval/116,1
HumanEval/117,1
HumanEval/118,0
HumanEval/119,0
HumanEval/12,1
HumanEval/120,0
HumanEval/121,1
HumanEval/122,1
HumanEval/123,0
HumanEval/124,0
HumanEval/125,0
HumanEval/126,0
HumanEval/127,0
HumanEval/128,1
HumanEval/129,0
HumanEval/13,1
HumanEval/130,0
HumanEval/131,1
HumanEval/132,0
HumanEval/133,0
HumanEval/134,0
HumanEval/135,0
HumanEval/136,1
HumanEval/137,0
HumanEval/138,0
HumanEval/139,1
HumanEval/14,0
HumanEval/140,1
HumanEval/141,0
HumanEval/142,0
HumanEval/143,0
HumanEval/144,1
HumanEval/145,0
HumanEval/146,1
HumanEval/147,0
HumanEval/148,0
HumanEval/149,1
HumanEval/15,1
HumanEval/150,1
HumanEval/151,0
HumanEval/152,1
HumanEval/153,0
HumanEval/154,1
HumanEval/155,0
HumanEval/156,0
HumanEval/157,1
HumanEval/158,0
HumanEval/159,1
HumanEval/16,1
HumanEval/160,0
HumanEval/161,1
HumanEval/162,1
HumanEval/163,0
HumanEval/17,0
HumanEval/18,1
HumanEval/19,0
HumanEval/2,1
HumanEval/20,1
HumanEval/21,1
HumanEval/22,1
HumanEval/23,1
HumanEval/24,1
HumanEval/25,1
HumanEval/26,1
HumanEval/27,0
HumanEval/28,1
HumanEval/29,1
HumanEval/3,1
HumanEval/30,1
HumanEval/31,1
HumanEval/32,0
HumanEval/33,0
HumanEval/34,1
HumanEval/35,1
HumanEval/36,1
HumanEval/37,0
HumanEval/38,0
HumanEval/39,0
HumanEval/4,1
HumanEval/40,1
HumanEval/41,1
HumanEval/42,1
HumanEval/43,1
HumanEval/44,1
HumanEval/45,0
HumanEval/46,0
HumanEval/47,1
HumanEval/48,1
HumanEval/49,1
HumanEval/5,1
HumanEval/50,0
HumanEval/51,1
HumanEval/52,1
HumanEval/53,1
HumanEval/54,1
HumanEval/55,1
HumanEval/56,1
HumanEval/57,0
HumanEval/58,1
HumanEval/59,0
HumanEval/6,1
HumanEval/60,1
HumanEval/61,1
HumanEval/62,1
HumanEval/63,1
HumanEval/64,1
HumanEval/65,0
HumanEval/66,1
HumanEval/67,1
HumanEval/68,0
HumanEval/69,1
HumanEval/7,1
HumanEval/70,1
HumanEval/71,1
HumanEval/72,1
HumanEval/73,1
HumanEval/74,0
HumanEval/75,0
HumanEval/76,0
HumanEval/77,0
HumanEval/78,0
HumanEval/79,0
HumanEval/8,1
HumanEval/80,1
HumanEval/81,0
HumanEval/82,1
HumanEval/83,0
HumanEval/84,1
HumanEval/85,1
HumanEval/86,0
HumanEval/87,0
HumanEval/88,0
HumanEval/89,1
HumanEval/9,1
HumanEval/90,1
HumanEval/91,0
HumanEval/92,1
HumanEval/93,0
HumanEval/94,0
HumanEval/95,0
HumanEval/96,0
HumanEval/97,1
HumanEval/98,1
HumanEval/99,0
