task_id,variant,model,seed,regime,p_fail,primary_pass,final_pass,adb_calls,ecnn_calls,adb_variant_used,gen_latency_ms,pytest_ms_primary,pytest_ms_repair,rubric_bullets,temperature_used,max_new_tokens_used,prompt_chars,prompt_tokens_est,detail
HumanEval/0,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,2709,1202,1202,0,0.30000000000000004,320,1725.0,229.0,"    def has_close_elements(numbers: List[float], threshold: float) -> bool:
                                    ^^^^
E   NameError: name 'List' is not defined
=========================== short test summary info ============================
ERROR test_solution.py - NameError: name 'List' is not defined
!!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.11s"
HumanEval/1,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,6470,1102,1202,0,0.30000000000000004,320,1842.0,254.0," def separate_paren_groups(paren_string: str) -> List[str]:
                                                    ^^^^
E   NameError: name 'List' is not defined
=========================== short test summary info ============================
ERROR test_solution.py - NameError: name 'List' is not defined
!!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.11s"
HumanEval/10,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,7496,1102,1102,0,0.30000000000000004,320,1916.0,259.0,"hat is a palindrome
        for i in range(len(string), 0, -1):
>           if is_palindrome(string[i:]):
               ^^^^^^^^^^^^^
E           NameError: name 'is_palindrome' is not defined

solution.py:18: NameError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - NameError: name 'is_palindrome' is not de...
1 failed in 0.04s"
HumanEval/100,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,6685,15022,15020,0,0.30000000000000004,320,1811.0,264.0,TimeoutError: Execution exceeded limit
HumanEval/101,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,5942,1102,1102,0,0.30000000000000004,320,1730.0,239.0,"', ... 'is', 'John']
E         
E         At index 1 diff: ' my name is John' != 'my'
E         Right contains 3 more items, first extra item: 'name'
E         Use -v to get more diff

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert ['Hi', ' my name i...
1 failed in 0.04s"
HumanEval/102,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,1,1,0,0,none,5183,1102,0,0,0.30000000000000004,320,1652.0,229.0,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/103,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,4514,1102,1102,0,0.30000000000000004,320,1782.0,248.0,"    
        # Check some simple cases
>       assert candidate(1, 5) == ""0b11""
E       AssertionError: assert '0b00000011' == '0b11'
E         
E         - 0b11
E         + 0b00000011

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert '0b00000011' == '0...
1 failed in 0.04s"
HumanEval/104,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,8503,1102,1102,0,0.30000000000000004,320,1674.0,227.0,"ndidate([15, 33, 1422, 1]) == [1, 15, 33]
>       assert candidate([152, 323, 1422, 10]) == []
E       assert [323] == []
E         
E         Left contains one more item: 323
E         Use -v to get more diff

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert [323] == []
1 failed in 0.04s"
HumanEval/105,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,8987,1102,1102,0,0.30000000000000004,320,2145.0,313.0,"], ""Error""
E       AssertionError: Error
E       assert None == ['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', ...]
E        +  where None = <function by_length at 0x7c3f4f524a40>([2, 1, 1, 4, 5, 8, ...])

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: Error
1 failed in 0.04s"
HumanEval/106,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,2946,1102,1102,0,0.30000000000000004,320,1736.0,263.0,"     if i % 2 == 0:
                # Factorial of i
>               result.append(factorial(i))
                              ^^^^^^^^^
E               NameError: name 'factorial' is not defined

solution.py:19: NameError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - NameError: name 'factorial' is not defined
1 failed in 0.04s"
HumanEval/107,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,8937,1102,1102,0,0.30000000000000004,320,2012.0,286.0,"heck(candidate):
    
        # Check some simple cases
>       assert candidate(123) == (8, 13)
E       assert None == (8, 13)
E        +  where None = <function even_odd_palindrome at 0x79ae4c490a40>(123)

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert None == (8, 13)
1 failed in 0.04s"
HumanEval/108,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,4724,1102,1102,0,0.30000000000000004,320,1732.0,246.0,":
    
        # Check some simple cases
        assert candidate([]) == 0
>       assert candidate([-1, -2, 0]) == 0
E       assert 2 == 0
E        +  where 2 = <function count_nums at 0x7ec65dd54a40>([-1, -2, 0])

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert 2 == 0
1 failed in 0.04s"
HumanEval/109,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,9008,1102,1102,0,0.30000000000000004,320,2601.0,365.0,"  
        """"""
        if not arr:
            return True
    
        # Find the index where the array is not sorted
>       sorted_index
E       NameError: name 'sorted_index' is not defined

solution.py:32: NameError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - NameError: name 'sorted_index' is not def...
1 failed in 0.04s"
HumanEval/11,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,1,1,0,0,none,6119,1102,0,0,0.30000000000000004,320,1595.0,223.0,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/110,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,1,1,0,0,none,8885,1102,0,0,0.30000000000000004,320,2015.0,293.0,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/111,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,8653,1102,1102,0,0.30000000000000004,320,1819.0,256.0," {'a': 2, 'b': 2}
E         
E         Left contains 1 more item:
E         {' ': 3}
E         Right contains 2 more items:
E         {'a': 2, 'b': 2}
E         Use -v to get more diff

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: This prints if this asser...
1 failed in 0.04s"
HumanEval/112,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,4737,1102,1102,0,0.30000000000000004,320,1934.0,281.0,"ate(""abcde"",""ae"") == ('bcd',False)
E       AssertionError: assert (False, True) == ('bcd', False)
E         
E         At index 0 diff: False != 'bcd'
E         Use -v to get more diff

test_solution.py:8: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert (False, True) == (...
1 failed in 0.04s"
HumanEval/113,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,9067,1202,1102,0,0.30000000000000004,320,1926.0,278.0,"t.""], ""Test 1""
E       AssertionError: Test 1
E       assert None == ['the number of odd elements 4n the str4ng 4 of the 4nput.']
E        +  where None = <function odd_count at 0x7846e9568a40>(['1234567'])

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: Test 1
1 failed in 0.04s"
HumanEval/114,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,6622,1102,1102,0,0.30000000000000004,320,1572.0,214.0,"    AssertionError: This prints if this assert fails 1 (good for debugging!)
E       assert 2 == 1
E        +  where 2 = <function minSubArraySum at 0x7b2f9dda0a40>([2, 3, 4, 1, 2, 4])

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: This prints if this asser...
1 failed in 0.04s"
HumanEval/115,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,3505,1102,1102,0,0.30000000000000004,320,2386.0,328.0,"    assert candidate([[1,1,1,1], [1,1,1,1]], 9) == 2, ""Error""
E       AssertionError: Error
E       assert 1 == 2
E        +  where 1 = <function max_fill at 0x7ea966678900>([[1, 1, 1, 1], [1, 1, 1, 1]], 9)

test_solution.py:18: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: Error
1 failed in 0.04s"
HumanEval/116,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,6521,1102,1102,0,0.30000000000000004,320,1798.0,259.0," _ _ _ _ _ _ _ 

x = 1

>   sorted_arr = sorted(arr, key=lambda x: (ones_count[x], x))
                                            ^^^^^^^^^^^^^
E   TypeError: 'set' object is not subscriptable

solution.py:15: TypeError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - TypeError: 'set' object is not subscriptable
1 failed in 0.04s"
HumanEval/117,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,1,1,0,0,none,8457,1102,0,0,0.30000000000000004,320,2038.0,285.0,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/118,adw_gepn_gate_v1,Qwen/Qwen2.5-Coder-0.5B-Instruct,1,heavy,1.0,0,0,1,1,ecnn_adb,3812,1102,1102,0,0.30000000000000004,320,1913.0,254.0,"le cases
        assert candidate(""yogurt"") == ""u""
        assert candidate(""full"") == ""u""
>       assert candidate(""easy"") == """"
E       AssertionError: assert 'a' == ''
E         
E         + a

test_solution.py:11: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert 'a' == ''
1 failed in 0.04s"
