task_id,model,variant,seed,regime,p_fail,primary_pass,final_pass,adb_calls,ecnn_calls,adb_variant_used,rubric_bullets,gen_latency_ms,pytest_ms_primary,pytest_ms_repair,prompt_chars,prompt_tokens_est,temperature_used,max_new_tokens_used,detail
HumanEval/0,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9926985408577569,0,0,1,1,ecnn_adb,13,5582,1202,1202,1693.0,226.0,0.30000000000000004,320,"    def has_close_elements(numbers: List[float], threshold: float) -> bool:
                                    ^^^^
E   NameError: name 'List' is not defined
=========================== short test summary info ============================
ERROR test_solution.py - NameError: name 'List' is not defined
!!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.11s"
HumanEval/1,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9948945238689189,0,0,1,1,ecnn_adb,13,8820,1102,1202,1842.0,254.0,0.30000000000000004,320," def separate_paren_groups(paren_string: str) -> List[str]:
                                                    ^^^^
E   NameError: name 'List' is not defined
=========================== short test summary info ============================
ERROR test_solution.py - NameError: name 'List' is not defined
!!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.11s"
HumanEval/10,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.995558082751414,0,0,1,1,ecnn_adb,13,6554,1102,1102,1916.0,259.0,0.30000000000000004,320,"hat is a palindrome
        for i in range(len(string), 0, -1):
>           if is_palindrome(string[i:]):
               ^^^^^^^^^^^^^
E           NameError: name 'is_palindrome' is not defined

solution.py:18: NameError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - NameError: name 'is_palindrome' is not de...
1 failed in 0.04s"
HumanEval/100,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9948653949782729,0,0,1,1,ecnn_adb,13,2786,15017,15018,1811.0,264.0,0.30000000000000004,320,TimeoutError: Execution exceeded limit
HumanEval/101,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9934923688108441,0,0,1,1,ecnn_adb,13,3885,1102,1102,1730.0,239.0,0.30000000000000004,320,"', ... 'is', 'John']
E         
E         At index 1 diff: ' my name is John' != 'my'
E         Right contains 3 more items, first extra item: 'name'
E         Use -v to get more diff

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert ['Hi', ' my name i...
1 failed in 0.04s"
HumanEval/102,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9923100606729617,0,0,1,1,ecnn_adb,13,4999,1101,1202,1652.0,229.0,0.30000000000000004,320,"7e9f2cc9d300>

    def check(candidate):
    
        # Check some simple cases
>       assert candidate(12, 15) == 14
E       assert -1 == 14
E        +  where -1 = <function choose_num at 0x7e9f2cc9d300>(12, 15)

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert -1 == 14
1 failed in 0.04s"
HumanEval/103,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9942068825509272,0,0,1,1,ecnn_adb,13,5938,1101,1102,1776.0,249.0,0.30000000000000004,320,"    
        # Check some simple cases
>       assert candidate(1, 5) == ""0b11""
E       AssertionError: assert '0b00000011' == '0b11'
E         
E         - 0b11
E         + 0b00000011

test_solution.py:9: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: assert '0b00000011' == '0...
1 failed in 0.04s"
HumanEval/104,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9925086278843448,0,0,1,1,ecnn_adb,13,8041,1102,1102,1674.0,227.0,0.30000000000000004,320,"ndidate([15, 33, 1422, 1]) == [1, 15, 33]
>       assert candidate([152, 323, 1422, 10]) == []
E       assert [323] == []
E         
E         Left contains one more item: 323
E         Use -v to get more diff

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - assert [323] == []
1 failed in 0.04s"
HumanEval/105,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9975597519741698,0,0,1,1,ecnn_adb,13,8949,1101,1101,2145.0,313.0,0.30000000000000004,320,"], ""Error""
E       AssertionError: Error
E       assert None == ['Eight', 'Five', 'Four', 'Three', 'Two', 'Two', ...]
E        +  where None = <function by_length at 0x7cd4593ad300>([2, 1, 1, 4, 5, 8, ...])

test_solution.py:10: AssertionError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - AssertionError: Error
1 failed in 0.04s"
HumanEval/106,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9941913627139651,1,1,0,0,none,13,9027,1102,0,1736.0,263.0,0.30000000000000004,320,".                                                                        [100%]
1 passed in 0.01s"
HumanEval/107,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9966265347170724,0,0,1,1,ecnn_adb,13,9017,1202,0,2018.0,285.0,0.30000000000000004,320,"SyntaxError: expected an indented block after 'if' statement on line 34 (<unknown>, line 35)"
HumanEval/108,Qwen/Qwen2.5-Coder-0.5B-Instruct,adw_gepn_gate_v3,1,heavy,0.9937069245228651,0,0,1,1,ecnn_adb,13,6241,1102,1101,1732.0,246.0,0.30000000000000004,320,"_ _ _ _ 

.0 = <str_ascii_iterator object at 0x7a79571c5f90>

>   if sum(int(digit) for digit in num_str) > 0:
           ^^^^^^^^^^
E   ValueError: invalid literal for int() with base 10: '-'

solution.py:20: ValueError
=========================== short test summary info ============================
FAILED test_solution.py::test_all - ValueError: invalid literal for int() wit...
1 failed in 0.04s"
