text,label,weight,origin
"or collecting importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import sum_to_n as candidate e importerror: cannot import name 'sum_to_n' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import triangle_area as candidate e importerror: cannot import name 'triangle_area' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"error collecting importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import add as candidate e importerror: cannot import name 'add' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"error collecting importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import tri as candidate e importerror: cannot import name 'tri' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"py importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import starts_one_ends as candidate e importerror: cannot import name 'starts_one_ends' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"error collecting importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import strlen as candidate e importerror: cannot import name 'strlen' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"error collecting importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import x_or_y as candidate e importerror: cannot import name 'x_or_y' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"g importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import max_element as candidate e importerror: cannot import name 'max_element' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"py importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import make_palindrome as candidate e importerror: cannot import name 'make_palindrome' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"g importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import count_upper as candidate e importerror: cannot import name 'count_upper' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import specialfilter as candidate e importerror: cannot import name 'specialfilter' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.11s",RETURNS_NOT_PRINT,1.5,ieps
"error collecting importerror while importing test module ''. hint: make sure your test modules/packages have valid python names. traceback: /usr/lib/python3.12/importlib/:90: in import_module return _bootstrap._gcd_import(name[level:], package, level) ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ :5: in <module> from solution import search as candidate e importerror: cannot import name 'search' from 'solution' (/tmp//) short test summary info error !!!!!!!!!!!!!!!!!!!! interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!! 1 error in 0.12s",RETURNS_NOT_PRINT,1.5,ieps
